"URL","Body","Body_Trans","Brand","Country","Crawled_Date","Date","Format","Full_Review","Full_Review_Trans","Gender","Granular_Topic","Higher_Topic","Product_Id","Product_Name","Product_Name_Trans","Product_Segment","Product_Segment2","Rating","Review_Id","Review_Type","Section","Sentiment","Source","Sub_Brand","Title","Title_Trans","Year_Quarter"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","barang original dan di segel , garansi resmi. Sesuai spesifikasi di deskripsi, berfungsi dengan baik. packing aman bubble wrap. proses dan kiriman cepat. recommended seller.","barang original dan di segel , garansi resmi. Sesuai spesifikasi di deskripsi, berfungsi dengan baik. packing aman bubble wrap. proses dan kiriman cepat. recommended seller.","Oxwalker","Indonesia","05-10-2026","02-12-2022","Pants","barang original dan di segel , garansi resmi. Sesuai spesifikasi di deskripsi, berfungsi dengan baik. packing aman bubble wrap. proses dan kiriman cepat. recommended seller.","barang original dan di segel , garansi resmi. Sesuai spesifikasi di deskripsi, berfungsi dengan baik. packing aman bubble wrap. proses dan kiriman cepat. recommended seller.","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","598892621","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2022-Q1"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Barangnya original 👍. Kemasan disegel. Warna sesuai pesanan. Spesifikasi sesuai . Barangnya mulus. Berfungsi dengan baik. Ada garansi resmi. Baterai awet. Kelengkapan sesuai. Kamera tajam. Suara jernih.","Barangnya original 👍. Kemasan disegel. Warna sesuai pesanan. Spesifikasi sesuai . Barangnya mulus. Berfungsi dengan baik. Ada garansi resmi. Baterai awet. Kelengkapan sesuai. Kamera tajam. Suara jernih.","Oxwalker","Indonesia","05-10-2026","12-12-2021","Pants","Barangnya original 👍. Kemasan disegel. Warna sesuai pesanan. Spesifikasi sesuai . Barangnya mulus. Berfungsi dengan baik. Ada garansi resmi. Baterai awet. Kelengkapan sesuai. Kamera tajam. Suara jernih.","Barangnya original 👍. Kemasan disegel. Warna sesuai pesanan. Spesifikasi sesuai . Barangnya mulus. Berfungsi dengan baik. Ada garansi resmi. Baterai awet. Kelengkapan sesuai. Kamera tajam. Suara jernih.","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","546958575","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2021-Q4"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Barang sudah mendarat dg selamat..mudah2an awet..thanks","Barang sudah mendarat dg selamat..mudah2an awet..thanks","Oxwalker","Indonesia","05-10-2026","11-15-2021","Pants","Barang sudah mendarat dg selamat..mudah2an awet..thanks","Barang sudah mendarat dg selamat..mudah2an awet..thanks","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","524651105","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2021-Q4"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Hp sudah sampai..untuk packing masih kurang safety..semoga Hp awet...terimakasih","Hp sudah sampai..untuk packing masih kurang safety..semoga Hp awet...terimakasih","Oxwalker","Indonesia","05-10-2026","11-12-2021","Pants","Hp sudah sampai..untuk packing masih kurang safety..semoga Hp awet...terimakasih","Hp sudah sampai..untuk packing masih kurang safety..semoga Hp awet...terimakasih","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","522506422","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2021-Q4"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Kemasan disegel. Spesifikasi sesuai . Berfungsi dengan baik. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Warna sesuai pesanan. Barangnya original 👍.","Kemasan disegel. Spesifikasi sesuai . Berfungsi dengan baik. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Warna sesuai pesanan. Barangnya original 👍.","Oxwalker","Indonesia","05-10-2026","02-09-2022","Pants","Kemasan disegel. Spesifikasi sesuai . Berfungsi dengan baik. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Warna sesuai pesanan. Barangnya original 👍.","Kemasan disegel. Spesifikasi sesuai . Berfungsi dengan baik. Proses pesanan cepat. Packaging aman 🙏. Packaging rapi. Warna sesuai pesanan. Barangnya original 👍.","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","595521080","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2022-Q1"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Warna sesuai pesanan. Proses pesanan cepat. Packaging aman 🙏.","Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Warna sesuai pesanan. Proses pesanan cepat. Packaging aman 🙏.","Oxwalker","Indonesia","05-10-2026","01-30-2022","Pants","Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Warna sesuai pesanan. Proses pesanan cepat. Packaging aman 🙏.","Barangnya original 👍. Kemasan disegel. Spesifikasi sesuai . Warna sesuai pesanan. Proses pesanan cepat. Packaging aman 🙏.","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","587145077","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2022-Q1"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","pesanan diterima. produk ori resmi sesuai pesanan. respon dan proses cepat harga bersahabat. terima kasih.","pesanan diterima. produk ori resmi sesuai pesanan. respon dan proses cepat harga bersahabat. terima kasih.","Oxwalker","Indonesia","05-10-2026","12-25-2021","Pants","pesanan diterima. produk ori resmi sesuai pesanan. respon dan proses cepat harga bersahabat. terima kasih.","pesanan diterima. produk ori resmi sesuai pesanan. respon dan proses cepat harga bersahabat. terima kasih.","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","557649579","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2021-Q4"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Barang ori, resmi garansi SEIN. Mantab segel utuh.","Barang ori, resmi garansi SEIN. Mantab segel utuh.","Oxwalker","Indonesia","05-10-2026","09-01-2021","Pants","Barang ori, resmi garansi SEIN. Mantab segel utuh.","Barang ori, resmi garansi SEIN. Mantab segel utuh.","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","467233806","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2021-Q3"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","Barangnya original 👍. Spesifikasi sesuai . Warna sesuai pesanan. Kemasan disegel. Ada garansi resmi. Barangnya mulus. Kelengkapan sesuai. Kamera tajam. Berfungsi dengan baik. Baterai awet. Suara jernih.","Barangnya original 👍. Spesifikasi sesuai . Warna sesuai pesanan. Kemasan disegel. Ada garansi resmi. Barangnya mulus. Kelengkapan sesuai. Kamera tajam. Berfungsi dengan baik. Baterai awet. Suara jernih.","Oxwalker","Indonesia","05-10-2026","11-02-2021","Pants","Barangnya original 👍. Spesifikasi sesuai . Warna sesuai pesanan. Kemasan disegel. Ada garansi resmi. Barangnya mulus. Kelengkapan sesuai. Kamera tajam. Berfungsi dengan baik. Baterai awet. Suara jernih.","Barangnya original 👍. Spesifikasi sesuai . Warna sesuai pesanan. Kemasan disegel. Ada garansi resmi. Barangnya mulus. Kelengkapan sesuai. Kamera tajam. Berfungsi dengan baik. Baterai awet. Suara jernih.","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","513724253","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2021-Q4"
"https://www.tokopedia.com/ini-toko-budi-shop/samsung-galaxy-a07-4-64-4-128-6-128-8-256-garansi-resmi-sein-1729815001835537895-1735330887460881895?extParam=ivf%3Dtrue%26keyword%3Dsamsung+a07%26search_id%3D2026051013261194F6D7E04A4D452A9TDF%26src%3Dsearch&t_id=1778419236765&t_st=7&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result","barang tiba di Minahasa dengan baik. puas belanja di tempat ini. terima kasih bos..","barang tiba di Minahasa dengan baik. puas belanja di tempat ini. terima kasih bos..","Oxwalker","Indonesia","05-10-2026","12-22-2021","Pants","barang tiba di Minahasa dengan baik. puas belanja di tempat ini. terima kasih bos..","barang tiba di Minahasa dengan baik. puas belanja di tempat ini. terima kasih bos..","Unisex",,,"103314079955","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein - A07 4/64 Black, No Bonus Cicil 0% 3x -  - Ini Toko Budi Shop | Tokopedia","Handphone","Android OS","5","555140766","Product Review","",,"Tokopedia","Oxwalker","Promo Samsung Galaxy A07 ( 4/64 4/128 6/128 8/256 ) Garansi Resmi Sein",,"2021-Q4"
